time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,entitlement_type,age,number_children,number_eligible_children,percentage_eligible_children
2024,Reporting year,National,E92000001,England,,,,,,15-hour entitlement,Total,1285393,1386827,92.7
2024,Reporting year,National,E92000001,England,,,,,,15-hour entitlement,2-year-olds,115852,154957,74.8
2024,Reporting year,National,E92000001,England,,,,,,15-hour entitlement,3-year-olds,559825,599974,93.3
2024,Reporting year,National,E92000001,England,,,,,,15-hour entitlement,4-year-olds,609716,631896,96.5
2024,Reporting year,National,E92000001,England,,,,,,15-hour entitlement,3 and 4-year-olds,1169541,1231870,94.9
2024,Reporting year,Regional,E92000001,England,E12000001,North East,,,,15-hour entitlement,Total,60504,61556,98.3
2024,Reporting year,Regional,E92000001,England,E12000001,North East,,,,15-hour entitlement,2-year-olds,7531,8793,85.6
2024,Reporting year,Regional,E92000001,England,E12000001,North East,,,,15-hour entitlement,3-year-olds,25753,25652,100.4
2024,Reporting year,Regional,E92000001,England,E12000001,North East,,,,15-hour entitlement,4-year-olds,27220,27111,100.4
2024,Reporting year,Regional,E92000001,England,E12000001,North East,,,,15-hour entitlement,3 and 4-year-olds,52973,52763,100.4
2024,Reporting year,Regional,E92000001,England,E12000002,North West,,,,15-hour entitlement,Total,177930,185285,96
2024,Reporting year,Regional,E92000001,England,E12000002,North West,,,,15-hour entitlement,2-year-olds,19287,24567,78.5
2024,Reporting year,Regional,E92000001,England,E12000002,North West,,,,15-hour entitlement,3-year-olds,75711,78318,96.7
2024,Reporting year,Regional,E92000001,England,E12000002,North West,,,,15-hour entitlement,4-year-olds,82932,82400,100.6
2024,Reporting year,Regional,E92000001,England,E12000002,North West,,,,15-hour entitlement,3 and 4-year-olds,158643,160718,98.7
2024,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,15-hour entitlement,Total,128504,136323,94.3
2024,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,15-hour entitlement,2-year-olds,13394,17676,75.8
2024,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,15-hour entitlement,3-year-olds,55365,57782,95.8
2024,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,15-hour entitlement,4-year-olds,59745,60865,98.2
2024,Reporting year,Regional,E92000001,England,E12000003,Yorkshire and The Humber,,,,15-hour entitlement,3 and 4-year-olds,115110,118647,97
2024,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,15-hour entitlement,Total,107166,115554,92.7
2024,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,15-hour entitlement,2-year-olds,9090,12387,73.4
2024,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,15-hour entitlement,3-year-olds,46677,50181,93
2024,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,15-hour entitlement,4-year-olds,51399,52986,97
2024,Reporting year,Regional,E92000001,England,E12000004,East Midlands,,,,15-hour entitlement,3 and 4-year-olds,98076,103167,95.1
2024,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,15-hour entitlement,Total,144545,154716,93.4
2024,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,15-hour entitlement,2-year-olds,14295,19785,72.3
2024,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,15-hour entitlement,3-year-olds,62028,65818,94.2
2024,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,15-hour entitlement,4-year-olds,68222,69113,98.7
2024,Reporting year,Regional,E92000001,England,E12000005,West Midlands,,,,15-hour entitlement,3 and 4-year-olds,130250,134931,96.5
2024,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,15-hour entitlement,Total,143743,152227,94.4
2024,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,15-hour entitlement,2-year-olds,11206,14649,76.5
2024,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,15-hour entitlement,3-year-olds,63380,66852,94.8
2024,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,15-hour entitlement,4-year-olds,69157,70726,97.8
2024,Reporting year,Regional,E92000001,England,E12000006,East of England,,,,15-hour entitlement,3 and 4-year-olds,132537,137578,96.3
2024,Reporting year,Regional,E92000001,England,E12000007,London,,,,15-hour entitlement,Total,202979,244909,82.9
2024,Reporting year,Regional,E92000001,England,E12000007,London,,,,15-hour entitlement,2-year-olds,17938,26806,66.9
2024,Reporting year,Regional,E92000001,England,E12000007,London,,,,15-hour entitlement,3-year-olds,88423,106879,82.7
2024,Reporting year,Regional,E92000001,England,E12000007,London,,,,15-hour entitlement,4-year-olds,96618,111224,86.9
2024,Reporting year,Regional,E92000001,England,E12000007,London,,,,15-hour entitlement,3 and 4-year-olds,185041,218103,84.8
2024,Reporting year,Regional,E92000001,England,E12000008,South East,,,,15-hour entitlement,Total,204796,213579,95.9
2024,Reporting year,Regional,E92000001,England,E12000008,South East,,,,15-hour entitlement,2-year-olds,14173,19074,74.3
2024,Reporting year,Regional,E92000001,England,E12000008,South East,,,,15-hour entitlement,3-year-olds,91432,94319,96.9
2024,Reporting year,Regional,E92000001,England,E12000008,South East,,,,15-hour entitlement,4-year-olds,99191,100186,99
2024,Reporting year,Regional,E92000001,England,E12000008,South East,,,,15-hour entitlement,3 and 4-year-olds,190623,194505,98
2024,Reporting year,Regional,E92000001,England,E12000009,South West,,,,15-hour entitlement,Total,115226,122678,93.9
2024,Reporting year,Regional,E92000001,England,E12000009,South West,,,,15-hour entitlement,2-year-olds,8938,11220,79.7
2024,Reporting year,Regional,E92000001,England,E12000009,South West,,,,15-hour entitlement,3-year-olds,51056,54173,94.2
2024,Reporting year,Regional,E92000001,England,E12000009,South West,,,,15-hour entitlement,4-year-olds,55232,57285,96.4
2024,Reporting year,Regional,E92000001,England,E12000009,South West,,,,15-hour entitlement,3 and 4-year-olds,106288,111458,95.4
2024,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,15-hour entitlement,Total,70570,94601,74.6
2024,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,15-hour entitlement,2-year-olds,7414,11143,66.5
2024,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,15-hour entitlement,3-year-olds,30440,41017,74.2
2024,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,15-hour entitlement,4-year-olds,32716,42440,77.1
2024,Reporting year,Regional,E92000001,England,E13000001,Inner London,,,,15-hour entitlement,3 and 4-year-olds,63156,83458,75.7
2024,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,15-hour entitlement,Total,132409,150308,88.1
2024,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,15-hour entitlement,2-year-olds,10524,15663,67.2
2024,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,15-hour entitlement,3-year-olds,57983,65862,88
2024,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,15-hour entitlement,4-year-olds,63902,68784,92.9
2024,Reporting year,Regional,E92000001,England,E13000002,Outer London,,,,15-hour entitlement,3 and 4-year-olds,121885,134645,90.5
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,15-hour entitlement,Total,11123,11600,95.9
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,15-hour entitlement,2-year-olds,1370,1627,84.2
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,15-hour entitlement,3-year-olds,4752,4848,98
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,15-hour entitlement,4-year-olds,5001,5125,97.6
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,840,E06000047,County Durham,15-hour entitlement,3 and 4-year-olds,9753,9973,97.8
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,15-hour entitlement,Total,2460,2445,100.6
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,15-hour entitlement,2-year-olds,302,347,87
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,15-hour entitlement,3-year-olds,1067,1020,104.6
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,15-hour entitlement,4-year-olds,1091,1078,101.2
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,841,E06000005,Darlington,15-hour entitlement,3 and 4-year-olds,2158,2098,102.9
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,15-hour entitlement,Total,4476,4469,100.2
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,15-hour entitlement,2-year-olds,541,667,81.1
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,15-hour entitlement,3-year-olds,1858,1848,100.6
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,15-hour entitlement,4-year-olds,2077,1954,106.3
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,390,E08000037,Gateshead,15-hour entitlement,3 and 4-year-olds,3935,3802,103.5
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,15-hour entitlement,Total,2285,2274,100.5
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,15-hour entitlement,2-year-olds,356,390,91.3
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,15-hour entitlement,3-year-olds,950,913,104
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,15-hour entitlement,4-year-olds,979,971,100.8
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,805,E06000001,Hartlepool,15-hour entitlement,3 and 4-year-olds,1929,1884,102.4
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,15-hour entitlement,Total,4223,4182,101
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,15-hour entitlement,2-year-olds,706,710,99.4
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,15-hour entitlement,3-year-olds,1723,1695,101.7
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,15-hour entitlement,4-year-olds,1794,1777,100.9
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,806,E06000002,Middlesbrough,15-hour entitlement,3 and 4-year-olds,3517,3472,101.3
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,15-hour entitlement,Total,6939,7426,93.4
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,15-hour entitlement,2-year-olds,924,1028,89.9
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,15-hour entitlement,3-year-olds,2949,3129,94.2
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,15-hour entitlement,4-year-olds,3066,3269,93.8
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,391,E08000021,Newcastle upon Tyne,15-hour entitlement,3 and 4-year-olds,6015,6398,94
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,15-hour entitlement,Total,4781,4673,102.3
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,15-hour entitlement,2-year-olds,432,525,82.3
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,15-hour entitlement,3-year-olds,2121,2022,104.9
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,15-hour entitlement,4-year-olds,2228,2126,104.8
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,392,E08000022,North Tyneside,15-hour entitlement,3 and 4-year-olds,4349,4148,104.8
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,15-hour entitlement,Total,6624,6342,104.4
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,15-hour entitlement,2-year-olds,691,773,89.4
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,15-hour entitlement,3-year-olds,2921,2693,108.5
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,15-hour entitlement,4-year-olds,3012,2876,104.7
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,929,E06000057,Northumberland,15-hour entitlement,3 and 4-year-olds,5933,5569,106.5
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,15-hour entitlement,Total,2996,3172,94.4
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,15-hour entitlement,2-year-olds,430,502,85.7
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,15-hour entitlement,3-year-olds,1177,1291,91.2
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,15-hour entitlement,4-year-olds,1389,1379,100.7
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,807,E06000003,Redcar and Cleveland,15-hour entitlement,3 and 4-year-olds,2566,2670,96.1
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,15-hour entitlement,Total,3414,3629,94.1
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,15-hour entitlement,2-year-olds,409,534,76.6
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,15-hour entitlement,3-year-olds,1478,1507,98.1
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,15-hour entitlement,4-year-olds,1527,1588,96.2
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,393,E08000023,South Tyneside,15-hour entitlement,3 and 4-year-olds,3005,3095,97.1
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,15-hour entitlement,Total,4910,4846,101.3
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,15-hour entitlement,2-year-olds,563,675,83.4
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,15-hour entitlement,3-year-olds,2076,2018,102.9
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,15-hour entitlement,4-year-olds,2271,2153,105.5
2024,Reporting year,Local authority,E92000001,England,E12000001,North East,808,E06000004,Stockton-on-Tees,15-hour entitlement,3 and 4-year-olds,4347,4171,104.2
