time_period,time_identifier,geographic_level,country_code,country_name,region_code,region_name,old_la_code,new_la_code,la_name,entitlement_type,pvi_provider_type_group,pvi_provider_type,number_providers,number_providers_graduate_staff,percentage_providers_graduate_staff,number_children,number_children_providers_graduate_staff,percentage_children_providers_graduate_staff
2024,Reporting year,National,E92000001,England,,,,,,15-hour entitlement,Total,Total,30577,11321,37,600602,303369,51
2024,Reporting year,National,E92000001,England,,,,,,15-hour entitlement,Private and voluntary providers,Total,17431,8248,47,518750,260564,50
2024,Reporting year,National,E92000001,England,,,,,,15-hour entitlement,Private and voluntary providers,Early years childcare providers,17131,8145,48,512870,257847,50
2024,Reporting year,National,E92000001,England,,,,,,15-hour entitlement,Private and voluntary providers,Sure start children's centres,173,70,40,5101,2322,46
2024,Reporting year,National,E92000001,England,,,,,,15-hour entitlement,Private and voluntary providers,Other private or voluntary providers,127,33,26,779,395,51
2024,Reporting year,National,E92000001,England,,,,,,15-hour entitlement,Local authority day nurseries,Local authority day nurseries,274,153,56,9866,5747,58
2024,Reporting year,National,E92000001,England,,,,,,15-hour entitlement,State-funded governor-run,State-funded governor-run,807,495,61,17843,10487,59
2024,Reporting year,National,E92000001,England,,,,,,15-hour entitlement,Other,Other,52,17,33,1583,389,25
2024,Reporting year,National,E92000001,England,,,,,,15-hour entitlement,Independent schools,Independent schools,807,678,84,25767,21244,82
2024,Reporting year,National,E92000001,England,,,,,,15-hour entitlement,Childminders,Childminders,11206,1730,15,26793,4938,18
2024,Reporting year,National,E92000001,England,,,,,,30-hour entitlement,Total,Total,28022,10323,37,273046,140763,52
2024,Reporting year,National,E92000001,England,,,,,,30-hour entitlement,Private and voluntary providers,Total,16426,7823,48,235509,126319,54
2024,Reporting year,National,E92000001,England,,,,,,30-hour entitlement,Private and voluntary providers,Early years childcare providers,16162,7730,48,233101,125161,54
2024,Reporting year,National,E92000001,England,,,,,,30-hour entitlement,Private and voluntary providers,Sure start children's centres,150,64,43,1921,918,48
2024,Reporting year,National,E92000001,England,,,,,,30-hour entitlement,Private and voluntary providers,Other private or voluntary providers,114,29,25,487,240,49
2024,Reporting year,National,E92000001,England,,,,,,30-hour entitlement,Local authority day nurseries,Local authority day nurseries,223,130,58,2685,1529,57
2024,Reporting year,National,E92000001,England,,,,,,30-hour entitlement,State-funded governor-run,State-funded governor-run,735,456,62,8123,4963,61
2024,Reporting year,National,E92000001,England,,,,,,30-hour entitlement,Other,Other,52,17,33,763,204,27
2024,Reporting year,National,E92000001,England,,,,,,30-hour entitlement,Independent schools,Independent schools,441,346,78,6039,4282,71
2024,Reporting year,National,E92000001,England,,,,,,30-hour entitlement,Childminders,Childminders,10145,1551,15,19927,3466,17
2024,Reporting year,Regional,E92000001,England,E12000001,North East,,,,15-hour entitlement,Total,Total,1030,413,40,18804,11147,59
