time_period,geographic_level,region_code,region_name,new_la_code,la_name,entitlement_type,age,number_children,number_eligible_children,percentage_eligible_children,number_children_dis,number_children_sen,percentage_children_sen
2018-01-01,Local authority,E13000002,Outer London,E09000002,Barking and Dagenham,15-hour entitlement,3-year-olds,3251,3924,82.9,,148,4.6
2018-01-01,Local authority,E13000002,Outer London,E09000003,Barnet,15-hour entitlement,3-year-olds,4291,5311,80.8,,168,3.9
2018-01-01,Local authority,E12000003,Yorkshire and The Humber,E08000016,Barnsley,15-hour entitlement,3-year-olds,2756,2850,96.7,,54,2.0
2018-01-01,Local authority,E12000009,South West,E06000022,Bath and North East Somerset,15-hour entitlement,3-year-olds,1863,1910,97.5,,106,5.7
2018-01-01,Local authority,E12000006,East of England,E06000055,Bedford,15-hour entitlement,3-year-olds,2215,2279,97.2,,55,2.5
2018-01-01,Local authority,E13000002,Outer London,E09000004,Bexley,15-hour entitlement,3-year-olds,2831,3254,87.0,,65,2.3
2018-01-01,Local authority,E12000005,West Midlands,E08000025,Birmingham,15-hour entitlement,3-year-olds,14871,16965,87.7,,1099,7.4
2018-01-01,Local authority,E12000002,North West,E06000008,Blackburn with Darwen,15-hour entitlement,3-year-olds,2031,2154,94.3,,84,4.1
2018-01-01,Local authority,E12000002,North West,E06000009,Blackpool,15-hour entitlement,3-year-olds,1575,1713,91.9,,81,5.1
2018-01-01,Local authority,E12000002,North West,E08000001,Bolton,15-hour entitlement,3-year-olds,3825,3900,98.1,,135,3.5
2018-01-01,Local authority,E12000009,South West,E06000028,Bournemouth,15-hour entitlement,3-year-olds,1988,2241,88.7,,110,5.5
2018-01-01,Local authority,E12000008,South East,E06000036,Bracknell Forest,15-hour entitlement,3-year-olds,1369,1519,90.2,,17,1.2
2018-01-01,Local authority,E12000003,Yorkshire and The Humber,E08000032,Bradford,15-hour entitlement,3-year-olds,7446,8174,91.1,,360,4.8
2018-01-01,Local authority,E13000002,Outer London,E09000005,Brent,15-hour entitlement,3-year-olds,3596,4940,72.8,,134,3.7
2018-01-01,Local authority,E12000008,South East,E06000043,Brighton and Hove,15-hour entitlement,3-year-olds,2761,2809,98.3,,107,3.9
2018-01-01,Local authority,E12000009,South West,E06000023,"Bristol, City of",15-hour entitlement,3-year-olds,5399,5897,91.5,,252,4.7
2018-01-01,Local authority,E13000002,Outer London,E09000006,Bromley,15-hour entitlement,3-year-olds,4078,4255,95.8,,229,5.6
2018-01-01,Local authority,E12000008,South East,E10000002,Buckinghamshire,15-hour entitlement,3-year-olds,6180,6687,92.4,,292,4.7
2018-01-01,Local authority,E12000002,North West,E08000002,Bury,15-hour entitlement,3-year-olds,2345,2410,97.3,,90,3.8
2018-01-01,Local authority,E12000003,Yorkshire and The Humber,E08000033,Calderdale,15-hour entitlement,3-year-olds,2619,2588,101.2,,99,3.8
2018-01-01,Local authority,E12000006,East of England,E10000003,Cambridgeshire,15-hour entitlement,3-year-olds,7185,7620,94.3,,106,1.5
2018-01-01,Local authority,E13000001,Inner London,E09000007,Camden,15-hour entitlement,3-year-olds,1837,2806,65.5,,134,7.3
2018-01-01,Local authority,E12000006,East of England,E06000056,Central Bedfordshire,15-hour entitlement,3-year-olds,3347,3583,93.4,,140,4.2
2018-01-01,Local authority,E12000002,North West,E06000049,Cheshire East,15-hour entitlement,3-year-olds,3992,4043,98.7,,76,1.9
2018-01-01,Local authority,E12000002,North West,E06000050,Cheshire West and Chester,15-hour entitlement,3-year-olds,3807,3759,101.3,,119,3.1
2018-01-01,Local authority,E13000001,Inner London,E09000001,City of London,15-hour entitlement,3-year-olds,51,92,55.6,,4,7.8
2018-01-01,Local authority,E12000009,South West,E06000052,Cornwall,15-hour entitlement,3-year-olds,5597,5839,95.9,,75,1.3
2018-01-01,Local authority,E12000001,North East,E06000047,County Durham,15-hour entitlement,3-year-olds,5298,5598,94.6,,202,3.8
2018-01-01,Local authority,E12000005,West Midlands,E08000026,Coventry,15-hour entitlement,3-year-olds,4065,4696,86.6,,97,2.4
2018-01-01,Local authority,E13000002,Outer London,E09000008,Croydon,15-hour entitlement,3-year-olds,4535,5570,81.4,,182,4.0
2018-01-01,Local authority,E12000002,North West,E10000006,Cumbria,15-hour entitlement,3-year-olds,4907,4954,99.0,,175,3.6
2018-01-01,Local authority,E12000001,North East,E06000005,Darlington,15-hour entitlement,3-year-olds,1160,1233,94.1,,82,7.1
2018-01-01,Local authority,E12000004,East Midlands,E06000015,Derby,15-hour entitlement,3-year-olds,3228,3465,93.2,,159,4.9
2018-01-01,Local authority,E12000004,East Midlands,E10000007,Derbyshire,15-hour entitlement,3-year-olds,8061,8176,98.6,,335,4.2
2018-01-01,Local authority,E12000009,South West,E10000008,Devon,15-hour entitlement,3-year-olds,7699,7665,100.4,,217,2.8
2018-01-01,Local authority,E12000003,Yorkshire and The Humber,E08000017,Doncaster,15-hour entitlement,3-year-olds,3404,3722,91.5,,70,2.1
2018-01-01,Local authority,E12000009,South West,E10000009,Dorset,15-hour entitlement,3-year-olds,3765,3790,99.3,,41,1.1
2018-01-01,Local authority,E12000005,West Midlands,E08000027,Dudley,15-hour entitlement,3-year-olds,3597,3899,92.3,,252,7.0
2018-01-01,Local authority,E13000002,Outer London,E09000009,Ealing,15-hour entitlement,3-year-olds,4364,5089,85.8,,235,5.4
2018-01-01,Local authority,E12000003,Yorkshire and The Humber,E06000011,East Riding of Yorkshire,15-hour entitlement,3-year-olds,3350,3250,103.1,,107,3.2
2018-01-01,Local authority,E12000008,South East,E10000011,East Sussex,15-hour entitlement,3-year-olds,5179,5612,92.3,,157,3.0
2018-01-01,Local authority,E13000002,Outer London,E09000010,Enfield,15-hour entitlement,3-year-olds,4017,4906,81.9,,163,4.1
2018-01-01,Local authority,E12000006,East of England,E10000012,Essex,15-hour entitlement,3-year-olds,17007,17422,97.6,,379,2.2
