time_period,geographic_level,region_code,region_name,new_la_code,la_name,entitlement_type,age,number_children_sen,percentage_children_sen
2024-01-01,Local authority,E12000001,North East,E06000047,County Durham,15-hour entitlement,3-year-olds,376,7.9
2024-01-01,Local authority,E12000001,North East,E06000047,County Durham,15-hour entitlement,4-year-olds,694,13.9
2024-01-01,Local authority,E12000001,North East,E06000047,County Durham,15-hour entitlement,3 and 4-year-olds,1070,11
2024-01-01,Local authority,E12000001,North East,E06000047,County Durham,30-hour entitlement,3-year-olds,129,5.2
2024-01-01,Local authority,E12000001,North East,E06000047,County Durham,30-hour entitlement,4-year-olds,96,9.9
2024-01-01,Local authority,E12000001,North East,E06000047,County Durham,30-hour entitlement,3 and 4-year-olds,225,6.5
2024-01-01,Local authority,E12000001,North East,E06000005,Darlington,15-hour entitlement,3-year-olds,97,9.1
2024-01-01,Local authority,E12000001,North East,E06000005,Darlington,15-hour entitlement,4-year-olds,135,12.4
2024-01-01,Local authority,E12000001,North East,E06000005,Darlington,15-hour entitlement,3 and 4-year-olds,232,10.8
2024-01-01,Local authority,E12000001,North East,E06000005,Darlington,30-hour entitlement,3-year-olds,34,6.1
2024-01-01,Local authority,E12000001,North East,E06000005,Darlington,30-hour entitlement,4-year-olds,20,9.2
2024-01-01,Local authority,E12000001,North East,E06000005,Darlington,30-hour entitlement,3 and 4-year-olds,54,7
2024-01-01,Local authority,E12000001,North East,E08000037,Gateshead,15-hour entitlement,3-year-olds,151,8.1
2024-01-01,Local authority,E12000001,North East,E08000037,Gateshead,15-hour entitlement,4-year-olds,284,13.7
2024-01-01,Local authority,E12000001,North East,E08000037,Gateshead,15-hour entitlement,3 and 4-year-olds,435,11.1
2024-01-01,Local authority,E12000001,North East,E08000037,Gateshead,30-hour entitlement,3-year-olds,48,5.1
2024-01-01,Local authority,E12000001,North East,E08000037,Gateshead,30-hour entitlement,4-year-olds,35,8.2
2024-01-01,Local authority,E12000001,North East,E08000037,Gateshead,30-hour entitlement,3 and 4-year-olds,83,6.1
2024-01-01,Local authority,E12000001,North East,E06000001,Hartlepool,15-hour entitlement,3-year-olds,73,7.7
2024-01-01,Local authority,E12000001,North East,E06000001,Hartlepool,15-hour entitlement,4-year-olds,156,15.9
2024-01-01,Local authority,E12000001,North East,E06000001,Hartlepool,15-hour entitlement,3 and 4-year-olds,229,11.9
2024-01-01,Local authority,E12000001,North East,E06000001,Hartlepool,30-hour entitlement,3-year-olds,14,3.8
2024-01-01,Local authority,E12000001,North East,E06000001,Hartlepool,30-hour entitlement,4-year-olds,13,8.8
2024-01-01,Local authority,E12000001,North East,E06000001,Hartlepool,30-hour entitlement,3 and 4-year-olds,27,5.3
2024-01-01,Local authority,E12000001,North East,E06000002,Middlesbrough,15-hour entitlement,3-year-olds,160,9.3
2024-01-01,Local authority,E12000001,North East,E06000002,Middlesbrough,15-hour entitlement,4-year-olds,260,14.5
2024-01-01,Local authority,E12000001,North East,E06000002,Middlesbrough,15-hour entitlement,3 and 4-year-olds,420,11.9
2024-01-01,Local authority,E12000001,North East,E06000002,Middlesbrough,30-hour entitlement,3-year-olds,33,5.9
2024-01-01,Local authority,E12000001,North East,E06000002,Middlesbrough,30-hour entitlement,4-year-olds,14,6.6
2024-01-01,Local authority,E12000001,North East,E06000002,Middlesbrough,30-hour entitlement,3 and 4-year-olds,47,6.1
2024-01-01,Local authority,E12000001,North East,E08000021,Newcastle upon Tyne,15-hour entitlement,3-year-olds,298,10.1
2024-01-01,Local authority,E12000001,North East,E08000021,Newcastle upon Tyne,15-hour entitlement,4-year-olds,410,13.4
2024-01-01,Local authority,E12000001,North East,E08000021,Newcastle upon Tyne,15-hour entitlement,3 and 4-year-olds,708,11.8
2024-01-01,Local authority,E12000001,North East,E08000021,Newcastle upon Tyne,30-hour entitlement,3-year-olds,96,7.9
2024-01-01,Local authority,E12000001,North East,E08000021,Newcastle upon Tyne,30-hour entitlement,4-year-olds,35,8.2
2024-01-01,Local authority,E12000001,North East,E08000021,Newcastle upon Tyne,30-hour entitlement,3 and 4-year-olds,131,7.9
2024-01-01,Local authority,E12000001,North East,E08000022,North Tyneside,15-hour entitlement,3-year-olds,167,7.9
2024-01-01,Local authority,E12000001,North East,E08000022,North Tyneside,15-hour entitlement,4-year-olds,331,14.9
2024-01-01,Local authority,E12000001,North East,E08000022,North Tyneside,15-hour entitlement,3 and 4-year-olds,498,11.5
2024-01-01,Local authority,E12000001,North East,E08000022,North Tyneside,30-hour entitlement,3-year-olds,59,4.8
2024-01-01,Local authority,E12000001,North East,E08000022,North Tyneside,30-hour entitlement,4-year-olds,30,6.7
2024-01-01,Local authority,E12000001,North East,E08000022,North Tyneside,30-hour entitlement,3 and 4-year-olds,89,5.3
2024-01-01,Local authority,E12000001,North East,E06000057,Northumberland,15-hour entitlement,3-year-olds,246,8.4
2024-01-01,Local authority,E12000001,North East,E06000057,Northumberland,15-hour entitlement,4-year-olds,488,16.2
2024-01-01,Local authority,E12000001,North East,E06000057,Northumberland,15-hour entitlement,3 and 4-year-olds,734,12.4
2024-01-01,Local authority,E12000001,North East,E06000057,Northumberland,30-hour entitlement,3-year-olds,91,5.5
2024-01-01,Local authority,E12000001,North East,E06000057,Northumberland,30-hour entitlement,4-year-olds,65,10.1
2024-01-01,Local authority,E12000001,North East,E06000057,Northumberland,30-hour entitlement,3 and 4-year-olds,156,6.8
2024-01-01,Local authority,E12000001,North East,E06000003,Redcar and Cleveland,15-hour entitlement,3-year-olds,91,7.7
2024-01-01,Local authority,E12000001,North East,E06000003,Redcar and Cleveland,15-hour entitlement,4-year-olds,187,13.5
2024-01-01,Local authority,E12000001,North East,E06000003,Redcar and Cleveland,15-hour entitlement,3 and 4-year-olds,278,10.8
2024-01-01,Local authority,E12000001,North East,E06000003,Redcar and Cleveland,30-hour entitlement,3-year-olds,21,4.5
2024-01-01,Local authority,E12000001,North East,E06000003,Redcar and Cleveland,30-hour entitlement,4-year-olds,13,5.9
2024-01-01,Local authority,E12000001,North East,E06000003,Redcar and Cleveland,30-hour entitlement,3 and 4-year-olds,34,4.9
2024-01-01,Local authority,E12000001,North East,E08000023,South Tyneside,15-hour entitlement,3-year-olds,114,7.7
2024-01-01,Local authority,E12000001,North East,E08000023,South Tyneside,15-hour entitlement,4-year-olds,241,15.8
2024-01-01,Local authority,E12000001,North East,E08000023,South Tyneside,15-hour entitlement,3 and 4-year-olds,355,11.8
2024-01-01,Local authority,E12000001,North East,E08000023,South Tyneside,30-hour entitlement,3-year-olds,30,5.1
2024-01-01,Local authority,E12000001,North East,E08000023,South Tyneside,30-hour entitlement,4-year-olds,17,7.5
2024-01-01,Local authority,E12000001,North East,E08000023,South Tyneside,30-hour entitlement,3 and 4-year-olds,47,5.8
2024-01-01,Local authority,E12000001,North East,E06000004,Stockton-on-Tees,15-hour entitlement,3-year-olds,107,5.2
2024-01-01,Local authority,E12000001,North East,E06000004,Stockton-on-Tees,15-hour entitlement,4-year-olds,229,10.1
2024-01-01,Local authority,E12000001,North East,E06000004,Stockton-on-Tees,15-hour entitlement,3 and 4-year-olds,336,7.7
2024-01-01,Local authority,E12000001,North East,E06000004,Stockton-on-Tees,30-hour entitlement,3-year-olds,39,3.8
2024-01-01,Local authority,E12000001,North East,E06000004,Stockton-on-Tees,30-hour entitlement,4-year-olds,13,3.3
2024-01-01,Local authority,E12000001,North East,E06000004,Stockton-on-Tees,30-hour entitlement,3 and 4-year-olds,52,3.7
2024-01-01,Local authority,E12000001,North East,E08000024,Sunderland,15-hour entitlement,3-year-olds,243,9.1
2024-01-01,Local authority,E12000001,North East,E08000024,Sunderland,15-hour entitlement,4-year-olds,445,16
2024-01-01,Local authority,E12000001,North East,E08000024,Sunderland,15-hour entitlement,3 and 4-year-olds,688,12.6
2024-01-01,Local authority,E12000001,North East,E08000024,Sunderland,30-hour entitlement,3-year-olds,57,4.8
2024-01-01,Local authority,E12000001,North East,E08000024,Sunderland,30-hour entitlement,4-year-olds,47,10
2024-01-01,Local authority,E12000001,North East,E08000024,Sunderland,30-hour entitlement,3 and 4-year-olds,104,6.3
2024-01-01,Local authority,E12000002,North West,E06000008,Blackburn with Darwen,15-hour entitlement,3-year-olds,141,7.7
2024-01-01,Local authority,E12000002,North West,E06000008,Blackburn with Darwen,15-hour entitlement,4-year-olds,298,15
2024-01-01,Local authority,E12000002,North West,E06000008,Blackburn with Darwen,15-hour entitlement,3 and 4-year-olds,439,11.5
2024-01-01,Local authority,E12000002,North West,E06000008,Blackburn with Darwen,30-hour entitlement,3-year-olds,36,4.9
2024-01-01,Local authority,E12000002,North West,E06000008,Blackburn with Darwen,30-hour entitlement,4-year-olds,15,6.3
2024-01-01,Local authority,E12000002,North West,E06000008,Blackburn with Darwen,30-hour entitlement,3 and 4-year-olds,51,5.2
2024-01-01,Local authority,E12000002,North West,E06000009,Blackpool,15-hour entitlement,3-year-olds,146,11.6
2024-01-01,Local authority,E12000002,North West,E06000009,Blackpool,15-hour entitlement,4-year-olds,246,16.1
